Plan file, plan diff, Entropy, Cosine, Hamming Similarity, Hamming Dist, Euclidean, Jaccard
agent_169.plans , s1-s3, 1.134637, 0.019143, 23.529412, 0.049514, 0.023657, 0.000000 
agent_169.plans , s2-s3, 0.781859, 0.031102, 100.000000, 0.026525, 0.020051, 0.000000 

agent_17.plans , s1-s2, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 
agent_17.plans , s1-s3, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 
agent_17.plans , s2-s3, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 

agent_170.plans , s1-s2, 0.079813, 0.475441, 0.000000, 0.009726, 0.002879, 0.000000 
agent_170.plans , s1-s3, 0.079813, 0.475441, 0.000000, 0.009726, 0.002879, 0.000000 
agent_170.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_171.plans , s1-s2, 1.018089, 0.029799, 2.127660, 0.045093, 0.019694, 0.000000 
agent_171.plans , s1-s3, 1.029391, 0.027291, 0.000000, 0.045977, 0.019751, 0.000000 
agent_171.plans , s2-s3, 0.024614, 0.860319, 100.000000, 0.004421, 0.001929, 0.000000 

agent_172.plans , s1-s2, 0.019832, 0.593449, 0.000000, 0.005305, 0.001309, 0.000000 
agent_172.plans , s1-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 
agent_172.plans , s2-s3, 0.016825, 0.593449, 0.000000, 0.005305, 0.001309, 0.000000 

agent_173.plans , s1-s2, 0.038894, 0.522807, 0.000000, 0.005305, 0.001970, 0.000000 
agent_173.plans , s1-s3, 0.038894, 0.522807, 0.000000, 0.005305, 0.001970, 0.000000 
agent_173.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_174.plans , s1-s2, 0.581276, 0.102739, 0.000000, 0.045977, 0.011676, 0.000000 
agent_174.plans , s1-s3, 0.581276, 0.102739, 0.000000, 0.045977, 0.011676, 0.000000 
agent_174.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_175.plans , s1-s2, 0.335237, 0.024339, 0.000000, 0.021220, 0.008786, 0.000000 
